ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PROTO_MUSKOGEAN-1-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	1	*I	1209	I	ana	ana	ɐ n ɐ	false
2	PROTO_MUSKOGEAN-31-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	31	*bone	1394	BONE	xw~oni	xw~oni	xʷ o n i	false
3	PROTO_MUSKOGEAN-51-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	51	*breasts	1402	BREAST	ipinsiki	ipinsiki	i p i n s i k i	false
4	PROTO_MUSKOGEAN-66-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	66	*come	1446	COME	ominti	ominti	o m i n t i	false
5	PROTO_MUSKOGEAN-61-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	61	*die	1494	DIE	li	li	l i	false
6	PROTO_MUSKOGEAN-21-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	21	*dog	2009	DOG	oxw~a	oxw~a	o xʷ ɐ	false
7	PROTO_MUSKOGEAN-54-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	54	*drink	1401	DRINK	isko	isko	i s k o	false
8	PROTO_MUSKOGEAN-39-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	39	*ear	1247	EAR	xakco	xakco	x ɐ k ts o	false
9	PROTO_MUSKOGEAN-40-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	40	*eye	1248	EYE	ti8i	ti8i	t i θ i	false
10	PROTO_MUSKOGEAN-19-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	19	*fish	227	FISH	8a8i	8a8i	θ ɐ θ i	false
11	PROTO_MUSKOGEAN-48-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	48	*hand	1277	HAND	ilmkw~i	ilmkw~i	i l m kʷ i	false
12	PROTO_MUSKOGEAN-58-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	58	*hear	1408	HEAR	xaklo	xaklo	x ɐ k l o	false
13	PROTO_MUSKOGEAN-34-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	34	*horn	1393	HORN (ANATOMY)	lapi	lapi	l ɐ p i	false
14	PROTO_MUSKOGEAN-47-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	47	*knee	1371	KNEE	intoLkopa	intoLkopa	i n t o ʎ k o p ɐ	false
15	PROTO_MUSKOGEAN-53-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	53	*liver	1224	LIVER	lopi	lopi	l o p i	false
16	PROTO_MUSKOGEAN-22-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	22	*louse	1392	LOUSE	ica	ica	i ts ɐ	false
17	PROTO_MUSKOGEAN-100-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	100	*name	1405	NAME	xocixw~a	xocixw~a	x o ts i xʷ ɐ	false
18	PROTO_MUSKOGEAN-96-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	96	*new	1231	NEW	ximoci	ximoci	x i m o ts i	false
19	PROTO_MUSKOGEAN-92-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	92	*night	1233	NIGHT	niaki	niaki	n i ɐ k i	false
20	PROTO_MUSKOGEAN-41-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	41	*nose	1221	NOSE	ikw~i	ikw~i	i kʷ i	false
21	PROTO_MUSKOGEAN-85-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	85	*path	2252	PATH	xina	xina	x i n ɐ	false
22	PROTO_MUSKOGEAN-18-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	18	*person	683	PERSON	xati	xati	x ɐ t i	false
23	PROTO_MUSKOGEAN-57-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	57	*see	1409	SEE	xica	xica	x i ts ɐ	false
24	PROTO_MUSKOGEAN-28-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	28	*skin	763	SKIN	axw~akSpi	axw~akSpi	ɐ xʷ ɐ k ʃ p i	false
25	PROTO_MUSKOGEAN-28-2	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	28	*skin	763	SKIN	xalkw~i	xalkw~i	x ɐ l kʷ i	false
26	PROTO_MUSKOGEAN-77-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	77	*stone	857	STONE	tali	tali	t ɐ l i	false
27	PROTO_MUSKOGEAN-72-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	72	*sun	1343	SUN	xasi	xasi	x ɐ s i	false
28	PROTO_MUSKOGEAN-44-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	44	*tongue	1205	TONGUE	colas	colas	ts o l ɐ s	false
29	PROTO_MUSKOGEAN-43-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	43	*tooth	1380	TOOTH	noti	noti	n o t i	false
30	PROTO_MUSKOGEAN-23-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	23	*tree	906	TREE	ikti	ikti	i k t i	false
31	PROTO_MUSKOGEAN-12-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	12	*two	1498	TWO	toklo	toklo	t o k l o	false
32	PROTO_MUSKOGEAN-75-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	75	*water	948	WATER	oka	oka	o k ɐ	false
33	PROTO_MUSKOGEAN-3-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	3	*we	1212	WE	posno	posno	p o s n o	false
34	PROTO_MUSKOGEAN-2-1	PROTO_MUSKOGEAN	PROTO_MUSKOGEAN	musk1252	Muskogean				False	2	*you	1215	THOU	ya	ya	j ɐ	false
