ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PROTO_SALISHAN-30-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	30	*blood	946	BLOOD	cay	cay	ts ɐ j	false
2	PROTO_SALISHAN-31-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	31	*bone	1394	BONE	q"awaL	q"awaL	qʼ ɐ w ɐ ʎ	false
3	PROTO_SALISHAN-66-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	66	*come	1446	COME	puL"	puL"	p u ʎ’	false
4	PROTO_SALISHAN-21-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	21	*dog	2009	DOG	sqaxa7	sqaxa7	s q ɐ x ɐ ʔ	false
5	PROTO_SALISHAN-54-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	54	*drink	1401	DRINK	qw~u7	qw~u7	qʷ u ʔ	false
6	PROTO_SALISHAN-54-2	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	54	*drink	1401	DRINK	uqw~	uqw~	u qʷ	false
7	PROTO_SALISHAN-39-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	39	*ear	1247	EAR	t"ani7	t"ani7	tʼ ɐ n i ʔ	false
8	PROTO_SALISHAN-82-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	82	*fire	221	FIRE	y3qw~	y3qw~	j ə qʷ	false
9	PROTO_SALISHAN-82-2	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	82	*fire	221	FIRE	h3yqw~	h3yqw~	h ə j qʷ	false
10	PROTO_SALISHAN-19-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	19	*fish	227	FISH	ciLn	ciLn	ts i ʎ n	false
11	PROTO_SALISHAN-95-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	95	*full	1429	FULL	q"w~ac"	q"w~ac"	qʼʷ ɐ tsʼ	false
12	PROTO_SALISHAN-48-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	48	*hand	1277	HAND	kalax	kalax	k ɐ l ɐ x	false
13	PROTO_SALISHAN-58-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	58	*hear	1408	HEAR	qan	qan	q ɐ n	false
14	PROTO_SALISHAN-34-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	34	*horn	1393	HORN (ANATOMY)	waina7w	waina7w	w ɐ i n ɐ ʔ w	false
15	PROTO_SALISHAN-22-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	22	*louse	1392	LOUSE	qw~3tixa7	qw~3tixa7	qʷ ə t i x ɐ ʔ	false
16	PROTO_SALISHAN-100-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	100	*name	1405	NAME	kw~a	kw~a	kʷ ɐ	false
17	PROTO_SALISHAN-11-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	11	*one	1493	ONE	nak"	nak"	n ɐ kʼ	false
18	PROTO_SALISHAN-11-2	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	11	*one	1493	ONE	naqas	naqas	n ɐ q ɐ s	false
19	PROTO_SALISHAN-85-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	85	*path	2252	PATH	x3wal	x3wal	x ə w ɐ l	false
20	PROTO_SALISHAN-18-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	18	*person	683	PERSON	qalmixw~	qalmixw~	q ɐ l m i xʷ	false
21	PROTO_SALISHAN-28-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	28	*skin	763	SKIN	k"w~3l"	k"w~3l"	kʼʷ ə l’	false
22	PROTO_SALISHAN-28-2	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	28	*skin	763	SKIN	st"3win	st"3win	s tʼ ə w i n	false
23	PROTO_SALISHAN-74-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	74	*star	1430	STAR	kw~us3n	kw~us3n	kʷ u s ə n	false
24	PROTO_SALISHAN-77-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	77	*stone	857	STONE	sxanx	sxanx	s x ɐ n x	false
25	PROTO_SALISHAN-44-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	44	*tongue	1205	TONGUE	tixw~c	tixw~c	t i xʷ ts	false
26	PROTO_SALISHAN-23-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	23	*tree	906	TREE	xap	xap	x ɐ p	false
27	PROTO_SALISHAN-12-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	12	*two	1498	TWO	3sal	3sal	ə s ɐ l	false
28	PROTO_SALISHAN-75-1	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	75	*water	948	WATER	qw~u7	qw~u7	qʷ u ʔ	false
29	PROTO_SALISHAN-75-2	PROTO_SALISHAN	PROTO_SALISHAN	sali1255	Salishan				False	75	*water	948	WATER	uqw~	uqw~	u qʷ	false
30	BELLA_COOLA-1-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	1	*I	1209	I	nc	nc	n ts	false
31	BELLA_COOLA-30-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	30	*blood	946	BLOOD	six	six	s i x	false
32	BELLA_COOLA-31-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	31	*bone	1394	BONE	cap	cap	ts ɐ p	false
33	BELLA_COOLA-51-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	51	*breasts	1402	BREAST	tums	tums	t u m s	false
34	BELLA_COOLA-66-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	66	*come	1446	COME	puL"	puL"	p u ʎ’	false
35	BELLA_COOLA-61-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	61	*die	1494	DIE	atma	atma	ɐ t m ɐ	false
