ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MOMUNA-1-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	1	*I	1209	I	nagu	nagu	n ɐ g u	false
2	MOMUNA-30-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	30	*blood	946	BLOOD	jan3	jan3	dʒ ɐ n ə	false
3	MOMUNA-31-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	31	*bone	1394	BONE	toko	toko	t o k o	false
4	MOMUNA-66-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	66	*come	1446	COME	meiyo	meiyo	m e i j o	false
5	MOMUNA-21-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	21	*dog	2009	DOG	kwoka	kwoka	k w o k ɐ	false
6	MOMUNA-40-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	40	*eye	1248	EYE	otu	otu	o t u	false
7	MOMUNA-82-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	82	*fire	221	FIRE	kukwa	kukwa	k u k w ɐ	false
8	MOMUNA-48-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	48	*hand	1277	HAND	te	te	t e	false
9	MOMUNA-48-2	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	48	*hand	1277	HAND	teri	teri	t e r i	false
10	MOMUNA-22-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	22	*louse	1392	LOUSE	amega	amega	ɐ m e g ɐ	false
11	MOMUNA-57-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	57	*see	1409	SEE	bari	bari	b ɐ r i	false
12	MOMUNA-28-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	28	*skin	763	SKIN	ke	ke	k e	false
13	MOMUNA-77-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	77	*stone	857	STONE	k3	k3	k ə	false
14	MOMUNA-72-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	72	*sun	1343	SUN	3k3	3k3	ə k ə	false
15	MOMUNA-43-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	43	*tooth	1380	TOOTH	ija	ija	i dʒ ɐ	false
16	MOMUNA-23-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	23	*tree	906	TREE	kwo	kwo	k w o	false
17	MOMUNA-75-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	75	*water	948	WATER	iNga	iNga	i ŋ g ɐ	false
18	MOMUNA-3-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	3	*we	1212	WE	inanuga	inanuga	i n ɐ n u g ɐ	false
