ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	SALINAN-1-1	SALINAN	SALINAN	sali1253	Salinan				True	1	*I	1209	I	hekh~	hekh~	h e kʰ	false
2	SALINAN-1-2	SALINAN	SALINAN	sali1253	Salinan				True	1	*I	1209	I	kh~e7	kh~e7	kʰ e ʔ	false
3	SALINAN-30-1	SALINAN	SALINAN	sali1253	Salinan				True	30	*blood	946	BLOOD	akath~	akath~	ɐ k ɐ tʰ	false
4	SALINAN-30-2	SALINAN	SALINAN	sali1253	Salinan				True	30	*blood	946	BLOOD	pakata	pakata	p ɐ k ɐ t ɐ	false
5	SALINAN-31-1	SALINAN	SALINAN	sali1253	Salinan				True	31	*bone	1394	BONE	axakh~	axakh~	ɐ x ɐ kʰ	false
6	SALINAN-31-2	SALINAN	SALINAN	sali1253	Salinan				True	31	*bone	1394	BONE	paxak	paxak	p ɐ x ɐ k	false
7	SALINAN-51-1	SALINAN	SALINAN	sali1253	Salinan				True	51	*breasts	1402	BREAST	iSo7	iSo7	i ʃ o ʔ	false
8	SALINAN-51-2	SALINAN	SALINAN	sali1253	Salinan				True	51	*breasts	1402	BREAST	iSu7	iSu7	i ʃ u ʔ	false
9	SALINAN-66-1	SALINAN	SALINAN	sali1253	Salinan				True	66	*come	1446	COME	iax	iax	i ɐ x	false
10	SALINAN-66-2	SALINAN	SALINAN	sali1253	Salinan				True	66	*come	1446	COME	enoxo	enoxo	e n o x o	false
11	SALINAN-61-1	SALINAN	SALINAN	sali1253	Salinan				True	61	*die	1494	DIE	axap	axap	ɐ x ɐ p	false
12	SALINAN-61-2	SALINAN	SALINAN	sali1253	Salinan				True	61	*die	1494	DIE	Setep	Setep	ʃ e t e p	false
13	SALINAN-21-1	SALINAN	SALINAN	sali1253	Salinan				True	21	*dog	2009	DOG	xuC	xuC	x u tʃ	false
14	SALINAN-21-2	SALINAN	SALINAN	sali1253	Salinan				True	21	*dog	2009	DOG	xuCai	xuCai	x u tʃ ɐ i	false
15	SALINAN-54-1	SALINAN	SALINAN	sali1253	Salinan				True	54	*drink	1401	DRINK	iSim	iSim	i ʃ i m	false
16	SALINAN-39-1	SALINAN	SALINAN	sali1253	Salinan				True	39	*ear	1247	EAR	entat	entat	e n t ɐ t	false
17	SALINAN-39-2	SALINAN	SALINAN	sali1253	Salinan				True	39	*ear	1247	EAR	iSk7$o7ol	iSk7$o7ol	i ʃ k ʔ o ʔ o l	false
18	SALINAN-40-1	SALINAN	SALINAN	sali1253	Salinan				True	40	*eye	1248	EYE	Sukenet	Sukenet	ʃ u k e n e t	false
19	SALINAN-40-2	SALINAN	SALINAN	sali1253	Salinan				True	40	*eye	1248	EYE	Sokeneth~	Sokeneth~	ʃ o k e n e tʰ	false
20	SALINAN-82-1	SALINAN	SALINAN	sali1253	Salinan				True	82	*fire	221	FIRE	ta7auh	ta7auh	t ɐ ʔ ɐ u h	false
21	SALINAN-82-2	SALINAN	SALINAN	sali1253	Salinan				True	82	*fire	221	FIRE	th~a7auh	th~a7auh	tʰ ɐ ʔ ɐ u h	false
22	SALINAN-19-1	SALINAN	SALINAN	sali1253	Salinan				True	19	*fish	227	FISH	sw~an	sw~an	sʷ ɐ n	false
23	SALINAN-19-2	SALINAN	SALINAN	sali1253	Salinan				True	19	*fish	227	FISH	cw~an	cw~an	tsʷ ɐ n	false
24	SALINAN-48-1	SALINAN	SALINAN	sali1253	Salinan				True	48	*hand	1277	HAND	men	men	m e n	false
25	SALINAN-48-2	SALINAN	SALINAN	sali1253	Salinan				True	48	*hand	1277	HAND	menen	menen	m e n e n	false
26	SALINAN-58-1	SALINAN	SALINAN	sali1253	Salinan				True	58	*hear	1408	HEAR	pesnoxo	pesnoxo	p e s n o x o	false
27	SALINAN-58-2	SALINAN	SALINAN	sali1253	Salinan				True	58	*hear	1408	HEAR	pesnoxo7	pesnoxo7	p e s n o x o ʔ	false
28	SALINAN-34-1	SALINAN	SALINAN	sali1253	Salinan				True	34	*horn	1393	HORN (ANATOMY)	italakh~	italakh~	i t ɐ l ɐ kʰ	false
29	SALINAN-47-1	SALINAN	SALINAN	sali1253	Salinan				True	47	*knee	1371	KNEE	topoi	topoi	t o p o i	false
30	SALINAN-47-2	SALINAN	SALINAN	sali1253	Salinan				True	47	*knee	1371	KNEE	th~oph~oi	th~oph~oi	tʰ o pʰ o i	false
31	SALINAN-25-1	SALINAN	SALINAN	sali1253	Salinan				True	25	*leaf	628	LEAF	Stan7~	Stan7~	ʃ t ɐ nˀ	false
32	SALINAN-53-1	SALINAN	SALINAN	sali1253	Salinan				True	53	*liver	1224	LIVER	aSx~	aSx~	ɐ ʃˠ	false
33	SALINAN-22-1	SALINAN	SALINAN	sali1253	Salinan				True	22	*louse	1392	LOUSE	tik7~e7	tik7~e7	t i kˀ e ʔ	false
34	SALINAN-86-1	SALINAN	SALINAN	sali1253	Salinan				True	86	*mountain	639	MOUNTAIN	loiyam	loiyam	l o i j ɐ m	false
35	SALINAN-86-2	SALINAN	SALINAN	sali1253	Salinan				True	86	*mountain	639	MOUNTAIN	tpoi	tpoi	t p o i	false
36	SALINAN-92-1	SALINAN	SALINAN	sali1253	Salinan				True	92	*night	1233	NIGHT	smakh~ai	smakh~ai	s m ɐ kʰ ɐ i	false
37	SALINAN-92-2	SALINAN	SALINAN	sali1253	Salinan				True	92	*night	1233	NIGHT	Smakh~ai	Smakh~ai	ʃ m ɐ kʰ ɐ i	false
38	SALINAN-41-1	SALINAN	SALINAN	sali1253	Salinan				True	41	*nose	1221	NOSE	enet"	enet"	e n e tʼ	false
39	SALINAN-41-2	SALINAN	SALINAN	sali1253	Salinan				True	41	*nose	1221	NOSE	enenat	enenat	e n e n ɐ t	false
40	SALINAN-11-1	SALINAN	SALINAN	sali1253	Salinan				True	11	*one	1493	ONE	t7~oL	t7~oL	tˀ o ʎ	false
41	SALINAN-11-2	SALINAN	SALINAN	sali1253	Salinan				True	11	*one	1493	ONE	t7~oixy~u	t7~oixy~u	tˀ o i xʲ u	false
42	SALINAN-85-1	SALINAN	SALINAN	sali1253	Salinan				True	85	*path	2252	PATH	lua	lua	l u ɐ	false
43	SALINAN-85-2	SALINAN	SALINAN	sali1253	Salinan				True	85	*path	2252	PATH	take7	take7	t ɐ k e ʔ	false
44	SALINAN-57-1	SALINAN	SALINAN	sali1253	Salinan				True	57	*see	1409	SEE	iam	iam	i ɐ m	false
45	SALINAN-57-2	SALINAN	SALINAN	sali1253	Salinan				True	57	*see	1409	SEE	pamtinik	pamtinik	p ɐ m t i n i k	false
46	SALINAN-28-1	SALINAN	SALINAN	sali1253	Salinan				True	28	*skin	763	SKIN	axw~em	axw~em	ɐ xʷ e m	false
47	SALINAN-28-2	SALINAN	SALINAN	sali1253	Salinan				True	28	*skin	763	SKIN	sanat7~	sanat7~	s ɐ n ɐ tˀ	false
48	SALINAN-74-1	SALINAN	SALINAN	sali1253	Salinan				True	74	*star	1430	STAR	tacuwan	tacuwan	t ɐ ts u w ɐ n	false
49	SALINAN-77-1	SALINAN	SALINAN	sali1253	Salinan				True	77	*stone	857	STONE	Cx~a7	Cx~a7	tʃˠ ɐ ʔ	false
50	SALINAN-77-2	SALINAN	SALINAN	sali1253	Salinan				True	77	*stone	857	STONE	Sx~ap	Sx~ap	ʃˠ ɐ p	false
51	SALINAN-72-1	SALINAN	SALINAN	sali1253	Salinan				True	72	*sun	1343	SUN	na7	na7	n ɐ ʔ	false
52	SALINAN-72-2	SALINAN	SALINAN	sali1253	Salinan				True	72	*sun	1343	SUN	kawe	kawe	k ɐ w e	false
53	SALINAN-44-1	SALINAN	SALINAN	sali1253	Salinan				True	44	*tongue	1205	TONGUE	epal	epal	e p ɐ l	false
54	SALINAN-43-1	SALINAN	SALINAN	sali1253	Salinan				True	43	*tooth	1380	TOOTH	suluknai	suluknai	s u l u k n ɐ i	false
55	SALINAN-12-1	SALINAN	SALINAN	sali1253	Salinan				True	12	*two	1498	TWO	kakh~Su	kakh~Su	k ɐ kʰ ʃ u	false
56	SALINAN-12-2	SALINAN	SALINAN	sali1253	Salinan				True	12	*two	1498	TWO	xakiS	xakiS	x ɐ k i ʃ	false
57	SALINAN-75-1	SALINAN	SALINAN	sali1253	Salinan				True	75	*water	948	WATER	Sa7	Sa7	ʃ ɐ ʔ	false
58	SALINAN-75-2	SALINAN	SALINAN	sali1253	Salinan				True	75	*water	948	WATER	Ca7	Ca7	tʃ ɐ ʔ	false
59	SALINAN-3-1	SALINAN	SALINAN	sali1253	Salinan				True	3	*we	1212	WE	hakh~	hakh~	h ɐ kʰ	false
60	SALINAN-3-2	SALINAN	SALINAN	sali1253	Salinan				True	3	*we	1212	WE	kh~a7	kh~a7	kʰ ɐ ʔ	false
61	SALINAN-2-1	SALINAN	SALINAN	sali1253	Salinan				True	2	*you	1215	THOU	mo7	mo7	m o ʔ	false
