ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	BERIA-1-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	1	*I	1209	I	ai	ai	ɐ i	false
2	BERTI-1-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	1	*I	1209	I	su	su	s u	false
3	BERTI-1-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	1	*I	1209	I	si	si	s i	false
4	BERIA-30-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	30	*blood	946	BLOOD	ogu	ogu	o g u	false
5	BERTI-30-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	30	*blood	946	BLOOD	aku	aku	ɐ k u	false
6	BERIA-31-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	31	*bone	1394	BONE	uru	uru	u r u	false
7	BERTI-31-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	31	*bone	1394	BONE	Suru	Suru	ʃ u r u	false
8	BERTI-31-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	31	*bone	1394	BONE	SiruN	SiruN	ʃ i r u ŋ	false
9	BERIA-51-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	51	*breasts	1402	BREAST	togo	togo	t o g o	false
10	BERTI-51-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	51	*breasts	1402	BREAST	takN	takN	t ɐ k ŋ	false
11	BERTI-51-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	51	*breasts	1402	BREAST	takin	takin	t ɐ k i n	false
12	BERIA-66-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	66	*come	1446	COME	kEsiri	kEsiri	k a s i r i	false
13	BERIA-61-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	61	*die	1494	DIE	sini	sini	s i n i	false
14	BERIA-61-2	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	61	*die	1494	DIE	nui	nui	n u i	false
15	BERIA-21-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	21	*dog	2009	DOG	biri	biri	b i r i	false
16	BERTI-21-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	21	*dog	2009	DOG	mir	mir	m i r	false
17	BERTI-21-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	21	*dog	2009	DOG	mur	mur	m u r	false
18	BERIA-54-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	54	*drink	1401	DRINK	Ta	Ta	c ɐ	false
19	BERIA-39-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	39	*ear	1247	EAR	kEbE	kEbE	k a b a	false
20	BERTI-39-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	39	*ear	1247	EAR	keN	keN	k e ŋ	false
21	BERTI-39-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	39	*ear	1247	EAR	keiN	keiN	k e i ŋ	false
22	BERIA-40-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	40	*eye	1248	EYE	i	i	i	false
23	BERTI-40-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	40	*eye	1248	EYE	siN	siN	s i ŋ	false
24	BERTI-40-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	40	*eye	1248	EYE	soeN	soeN	s o e ŋ	false
25	BERIA-82-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	82	*fire	221	FIRE	Tie	Tie	c i e	false
26	BERIA-82-2	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	82	*fire	221	FIRE	Te	Te	c e	false
27	BERTI-82-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	82	*fire	221	FIRE	aza	aza	ɐ z ɐ	false
28	BERIA-19-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	19	*fish	227	FISH	hut	hut	h u t	true
29	BERIA-95-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	95	*full	1429	FULL	hEr	hEr	h a r	false
30	BERTI-95-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	95	*full	1429	FULL	sitas	sitas	s i t ɐ s	false
31	BERTI-95-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	95	*full	1429	FULL	sitaS	sitaS	s i t ɐ ʃ	false
32	BERIA-48-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	48	*hand	1277	HAND	ba	ba	b ɐ	false
33	BERTI-48-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	48	*hand	1277	HAND	mei	mei	m e i	false
34	BERTI-48-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	48	*hand	1277	HAND	may	may	m ɐ j	false
35	BERIA-58-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	58	*hear	1408	HEAR	kEbE	kEbE	k a b a	false
36	BERIA-34-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	34	*horn	1393	HORN (ANATOMY)	tEdi	tEdi	t a d i	false
37	BERTI-34-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	34	*horn	1393	HORN (ANATOMY)	Siti	Siti	ʃ i t i	false
38	BERTI-34-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	34	*horn	1393	HORN (ANATOMY)	yanda	yanda	j ɐ n d ɐ	false
39	BERIA-47-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	47	*knee	1371	KNEE	koru	koru	k o r u	false
40	BERTI-47-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	47	*knee	1371	KNEE	kuru	kuru	k u r u	false
41	BERTI-47-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	47	*knee	1371	KNEE	kur	kur	k u r	false
42	BERIA-25-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	25	*leaf	628	LEAF	ofur	ofur	o f u r	false
43	BERTI-25-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	25	*leaf	628	LEAF	gu terak	gu terak	g u t e r ɐ k	false
44	BERTI-25-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	25	*leaf	628	LEAF	guan terak	guan terak	g u ɐ n t e r ɐ k	false
45	BERIA-53-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	53	*liver	1224	LIVER	mai	mai	m ɐ i	false
46	BERIA-22-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	22	*louse	1392	LOUSE	uE	uE	u a	false
47	BERTI-22-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	22	*louse	1392	LOUSE	wiN	wiN	w i ŋ	false
48	BERIA-86-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	86	*mountain	639	MOUNTAIN	ha	ha	h ɐ	false
49	BERTI-86-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	86	*mountain	639	MOUNTAIN	wi	wi	w i	false
50	BERIA-100-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	100	*name	1405	NAME	tir	tir	t i r	false
51	BERTI-100-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	100	*name	1405	NAME	zoeN	zoeN	z o e ŋ	false
52	BERTI-100-2	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	100	*name	1405	NAME	uN	uN	u ŋ	false
53	BERIA-96-1	BERIA	BERIA	zagh1240	Beria	Saharan	Eastern Saharan		False	96	*new	1231	NEW	ubu	ubu	u b u	false
54	BERTI-96-1	BERTI	BERTI	bert1249	Berti	Saharan	Eastern Saharan		False	96	*new	1231	NEW	boo	boo	b o o	false
