ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	CSANGO-1-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	1	*I	1209	I	en	en	e n	false
2	CSANGO-1-2	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	1	*I	1209	I	ien	ien	i e n	false
3	HUNGARIAN-1-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	1	*I	1209	I	en	en	e n	false
4	HUNGARIAN_2-1-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	1	*I	1209	I	en	en	e n	false
5	CSANGO-30-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	30	*blood	946	BLOOD	ver	ver	v e r	false
6	HUNGARIAN-30-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	30	*blood	946	BLOOD	ver	ver	v e r	false
7	HUNGARIAN_2-30-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	30	*blood	946	BLOOD	ver	ver	v e r	false
8	HUNGARIAN-31-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	31	*bone	1394	BONE	Cont	Cont	tʃ o n t	false
9	HUNGARIAN_2-31-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	31	*bone	1394	BONE	Cont	Cont	tʃ o n t	false
10	CSANGO-51-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	51	*breasts	1402	BREAST	Sy~3Sy~	Sy~3Sy~	ʃʲ ə ʃʲ	false
11	CSANGO-51-2	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	51	*breasts	1402	BREAST	meL	meL	m e ʎ	false
12	HUNGARIAN-51-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	51	*breasts	1402	BREAST	mel	mel	m e l	false
13	HUNGARIAN_2-51-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	51	*breasts	1402	BREAST	mEll	mEll	m a l l	false
14	HUNGARIAN_2-51-2	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	51	*breasts	1402	BREAST	kEbEl	kEbEl	k a b a l	false
15	CSANGO-66-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	66	*come	1446	COME	yE	yE	j a	false
16	HUNGARIAN-66-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	66	*come	1446	COME	jin	jin	dʒ i n	false
17	HUNGARIAN_2-66-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	66	*come	1446	COME	yen	yen	j e n	false
18	CSANGO-61-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	61	*die	1494	DIE	hol	hol	h o l	false
19	HUNGARIAN-61-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	61	*die	1494	DIE	hal	hal	h ɐ l	false
20	HUNGARIAN_2-61-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	61	*die	1494	DIE	hol	hol	h o l	false
21	CSANGO-21-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	21	*dog	2009	DOG	kuSy~o	kuSy~o	k u ʃʲ o	false
22	HUNGARIAN-21-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	21	*dog	2009	DOG	kuTa	kuTa	k u c ɐ	false
23	HUNGARIAN_2-21-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	21	*dog	2009	DOG	Eb	Eb	a b	false
24	HUNGARIAN_2-21-2	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	21	*dog	2009	DOG	kuTo	kuTo	k u c o	false
25	CSANGO-54-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	54	*drink	1401	DRINK	illogEtik	illogEtik	i l l o g a t i k	false
26	CSANGO-54-2	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	54	*drink	1401	DRINK	isik	isik	i s i k	false
27	HUNGARIAN-54-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	54	*drink	1401	DRINK	in	in	i n	false
28	HUNGARIAN_2-54-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	54	*drink	1401	DRINK	isik	isik	i s i k	false
29	CSANGO-39-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	39	*ear	1247	EAR	fiL	fiL	f i ʎ	false
30	HUNGARIAN-39-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	39	*ear	1247	EAR	fil	fil	f i l	false
31	HUNGARIAN_2-39-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	39	*ear	1247	EAR	fil	fil	f i l	false
32	CSANGO-40-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	40	*eye	1248	EYE	s3m	s3m	s ə m	false
33	HUNGARIAN-40-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	40	*eye	1248	EYE	sem	sem	s e m	false
34	HUNGARIAN_2-40-1	HUNGARIAN_2	HUNGARIAN_2	hung1274	Hungarian	Uralic			False	40	*eye	1248	EYE	sEm	sEm	s a m	false
35	CSANGO-82-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	82	*fire	221	FIRE	tiz	tiz	t i z	false
36	HUNGARIAN-82-1	HUNGARIAN	HUNGARIAN	hung1274	Hungarian	Uralic			False	82	*fire	221	FIRE	tiz	tiz	t i z	false
