ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	BANGERI_ME-1-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	1	*I	1209	I	mi	mi	m i	false
2	BANGERI_ME-1-2	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	1	*I	1209	I	n	n	n	false
3	BANGERI_ME-1-3	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	1	*I	1209	I	ni	ni	n i	false
4	BANGERI_ME_2-1-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	1	*I	1209	I	miu*	miu*	m i ũ	false
5	BANGI_ME-1-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	1	*I	1209	I	mi	mi	m i	false
6	BANGERI_ME-30-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	30	*blood	946	BLOOD	zi	zi	z i	false
7	BANGERI_ME_2-30-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	30	*blood	946	BLOOD	dondi	dondi	d o n d i	false
8	BANGI_ME-30-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	30	*blood	946	BLOOD	yi	yi	j i	false
9	BANGERI_ME-31-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	31	*bone	1394	BONE	noorE	noorE	n o o r a	false
10	BANGERI_ME_2-31-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	31	*bone	1394	BONE	norE	norE	n o r a	false
11	BANGI_ME-31-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	31	*bone	1394	BONE	noorE	noorE	n o o r a	false
12	BANGERI_ME-51-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	51	*breasts	1402	BREAST	suyE	suyE	s u j a	false
13	BANGI_ME-51-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	51	*breasts	1402	BREAST	py~E	py~E	pʲ a	false
14	BANGERI_ME-66-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	66	*come	1446	COME	nore	nore	n o r e	false
15	BANGERI_ME_2-66-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	66	*come	1446	COME	nuima7	nuima7	n u i m ɐ ʔ	false
16	BANGI_ME-66-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	66	*come	1446	COME	nu	nu	n u	false
17	BANGERI_ME-61-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	61	*die	1494	DIE	za	za	z ɐ	false
18	BANGERI_ME_2-61-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	61	*die	1494	DIE	yaway	yaway	j ɐ w ɐ j	false
19	BANGI_ME-61-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	61	*die	1494	DIE	yaway	yaway	j ɐ w ɐ j	false
20	BANGERI_ME-21-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	21	*dog	2009	DOG	kurijeE	kurijeE	k u r i dʒ e a	false
21	BANGERI_ME_2-21-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	21	*dog	2009	DOG	kurEmE7	kurEmE7	k u r a m a ʔ	false
22	BANGI_ME-21-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	21	*dog	2009	DOG	kurE	kurE	k u r a	false
23	BANGERI_ME-54-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	54	*drink	1401	DRINK	5iyErE	5iyErE	ɲ i j a r a	false
24	BANGERI_ME_2-54-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	54	*drink	1401	DRINK	yE	yE	j a	false
25	BANGI_ME-54-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	54	*drink	1401	DRINK	n5~E	n5~E	n ɲ a	false
26	BANGERI_ME-39-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	39	*ear	1247	EAR	taNa	taNa	t ɐ ŋ ɐ	false
27	BANGERI_ME_2-39-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	39	*ear	1247	EAR	taNa	taNa	t ɐ ŋ ɐ	false
28	BANGI_ME-39-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	39	*ear	1247	EAR	taNa	taNa	t ɐ ŋ ɐ	false
29	BANGERI_ME-40-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	40	*eye	1248	EYE	sibiE	sibiE	s i b i a	false
30	BANGERI_ME_2-40-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	40	*eye	1248	EYE	jiri*	jiri*	dʒ i r ĩ	false
31	BANGERI_ME_2-40-2	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	40	*eye	1248	EYE	siwE	siwE	s i w a	false
32	BANGI_ME-40-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	40	*eye	1248	EYE	SivE	SivE	ʃ i v a	false
33	BANGERI_ME-82-1	BANGERI_ME	BANGERI_ME	bang1363	Bangime				True	82	*fire	221	FIRE	bireE	bireE	b i r e a	false
34	BANGERI_ME_2-82-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	82	*fire	221	FIRE	birE	birE	b i r a	false
35	BANGI_ME-82-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	82	*fire	221	FIRE	birE	birE	b i r a	false
36	BANGERI_ME_2-19-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	19	*fish	227	FISH	yiEkoroNno	yiEkoroNno	j i a k o r o ŋ n o	false
37	BANGI_ME-19-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	19	*fish	227	FISH	No*	No*	ŋ õ	false
38	BANGI_ME-95-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	95	*full	1429	FULL	dE*way	dE*way	d ã w ɐ j	false
39	BANGI_ME-48-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	48	*hand	1277	HAND	niNk~uri	niNk~uri	n i ⁿk u r i	false
40	BANGERI_ME_2-58-1	BANGERI_ME_2	BANGERI_ME_2	bang1363	Bangime				True	58	*hear	1408	HEAR	no	no	n o	false
41	BANGI_ME-58-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	58	*hear	1408	HEAR	no	no	n o	false
42	BANGI_ME-34-1	BANGI_ME	BANGI_ME	bang1363	Bangime				True	34	*horn	1393	HORN (ANATOMY)	sira	sira	s i r ɐ	false
