ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	AMBAKICH-1-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	1	*I	1209	I	5i	5i	ɲ i	false
2	AP_MA-1-1	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	1	*I	1209	I	naiN	naiN	n ɐ i ŋ	false
3	AP_MA-1-2	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	1	*I	1209	I	nyapo	nyapo	n j ɐ p o	false
4	AMBAKICH-30-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	30	*blood	946	BLOOD	sin	sin	s i n	false
5	AP_MA-30-1	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	30	*blood	946	BLOOD	sindrre m	sindrre m	s i n d r r e m	false
6	AMBAKICH-31-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	31	*bone	1394	BONE	xalaity~	xalaity~	x ɐ l ɐ i tʲ	false
7	AP_MA-31-1	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	31	*bone	1394	BONE	amo	amo	ɐ m o	false
8	AMBAKICH-51-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	51	*breasts	1402	BREAST	ulity~	ulity~	u l i tʲ	false
9	AP_MA-51-1	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	51	*breasts	1402	BREAST	ndyap	ndyap	n d j ɐ p	false
10	AMBAKICH-66-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	66	*come	1446	COME	yE	yE	j a	false
11	AP_MA-66-1	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	66	*come	1446	COME	shiawe	shiawe	s h i ɐ w e	false
12	AMBAKICH-61-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	61	*die	1494	DIE	gul	gul	g u l	false
13	AP_MA-61-1	AP_MA	AP_MA	apma1241	Ap Ma	Keram	East Keram		False	61	*die	1494	DIE	ndol aib	ndol aib	n d o l ɐ i b	false
14	AMBAKICH-21-1	AMBAKICH	AMBAKICH	amba1269	Ambakich	Keram	East Keram		False	21	*dog	2009	DOG	yilEl	yilEl	j i l a l	false
