ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KARAS-1-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	1	*I	1209	I	an	an	ɐ n	false
2	KARAS-30-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	30	*blood	946	BLOOD	kariak	kariak	k ɐ r i ɐ k	false
3	KARAS-31-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	31	*bone	1394	BONE	kaNun	kaNun	k ɐ ŋ u n	false
4	KARAS-51-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	51	*breasts	1402	BREAST	am	am	ɐ m	false
5	KARAS-66-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	66	*come	1446	COME	mey	mey	m e j	false
6	KARAS-61-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	61	*die	1494	DIE	lalat	lalat	l ɐ l ɐ t	false
7	KARAS-21-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	21	*dog	2009	DOG	bal	bal	b ɐ l	false
8	KARAS-54-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	54	*drink	1401	DRINK	rat	rat	r ɐ t	false
9	KARAS-39-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	39	*ear	1247	EAR	kolkam	kolkam	k o l k ɐ m	false
10	KARAS-40-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	40	*eye	1248	EYE	kaNgir	kaNgir	k ɐ ŋ g i r	false
11	KARAS-82-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	82	*fire	221	FIRE	din	din	d i n	false
12	KARAS-19-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	19	*fish	227	FISH	sor	sor	s o r	false
13	KARAS-48-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	48	*hand	1277	HAND	tan	tan	t ɐ n	false
14	KARAS-58-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	58	*hear	1408	HEAR	ran	ran	r ɐ n	false
15	KARAS-47-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	47	*knee	1371	KNEE	kor pak	kor pak	k o r p ɐ k	false
16	KARAS-25-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	25	*leaf	628	LEAF	olun	olun	o l u n	false
17	KARAS-22-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	22	*louse	1392	LOUSE	mun	mun	m u n	false
18	KARAS-86-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	86	*mountain	639	MOUNTAIN	kilak	kilak	k i l ɐ k	false
19	KARAS-100-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	100	*name	1405	NAME	in	in	i n	false
20	KARAS-96-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	96	*new	1231	NEW	gyarten	gyarten	g j ɐ r t e n	false
21	KARAS-92-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	92	*night	1233	NIGHT	gosesawn	gosesawn	g o s e s ɐ w n	false
22	KARAS-41-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	41	*nose	1221	NOSE	bustaN	bustaN	b u s t ɐ ŋ	false
23	KARAS-11-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	11	*one	1493	ONE	kon	kon	k o n	false
24	KARAS-85-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	85	*path	2252	PATH	urap	urap	u r ɐ p	false
25	KARAS-18-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	18	*person	683	PERSON	tun	tun	t u n	false
26	KARAS-57-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	57	*see	1409	SEE	komet	komet	k o m e t	false
27	KARAS-28-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	28	*skin	763	SKIN	kulun	kulun	k u l u n	false
28	KARAS-74-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	74	*star	1430	STAR	maser	maser	m ɐ s e r	false
29	KARAS-77-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	77	*stone	857	STONE	yar	yar	j ɐ r	false
30	KARAS-72-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	72	*sun	1343	SUN	yon	yon	j o n	false
31	KARAS-44-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	44	*tongue	1205	TONGUE	blen	blen	b l e n	false
32	KARAS-43-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	43	*tooth	1380	TOOTH	gir	gir	g i r	false
33	KARAS-23-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	23	*tree	906	TREE	ror	ror	r o r	false
34	KARAS-12-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	12	*two	1498	TWO	er	er	e r	false
35	KARAS-75-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	75	*water	948	WATER	per	per	p e r	false
36	KARAS-3-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	3	*we	1212	WE	in	in	i n	false
37	KARAS-2-1	KARAS	KARAS	kara1499	Kalamang	West Bomberai			False	2	*you	1215	THOU	ka	ka	k ɐ	false
38	IHA-1-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	1	*I	1209	I	on	on	o n	false
39	MBAHAM-1-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	1	*I	1209	I	and	and	ɐ n d	false
40	IHA-30-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	30	*blood	946	BLOOD	wek	wek	w e k	false
41	IHA-30-2	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	30	*blood	946	BLOOD	kibiek	kibiek	k i b i e k	false
42	MBAHAM-30-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	30	*blood	946	BLOOD	wiet	wiet	w i e t	false
43	IHA-31-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	31	*bone	1394	BONE	togar	togar	t o g ɐ r	false
44	MBAHAM-31-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	31	*bone	1394	BONE	togar	togar	t o g ɐ r	false
45	IHA-51-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	51	*breasts	1402	BREAST	hon	hon	h o n	false
46	MBAHAM-51-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	51	*breasts	1402	BREAST	son	son	s o n	false
47	IHA-66-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	66	*come	1446	COME	howot	howot	h o w o t	false
48	MBAHAM-66-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	66	*come	1446	COME	kabit	kabit	k ɐ b i t	false
49	IHA-61-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	61	*die	1494	DIE	kimih	kimih	k i m i h	false
50	MBAHAM-61-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	61	*die	1494	DIE	kyep warik	kyep warik	k j e p w ɐ r i k	false
51	IHA-21-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	21	*dog	2009	DOG	mbiar	mbiar	m b i ɐ r	false
52	MBAHAM-21-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	21	*dog	2009	DOG	yambar	yambar	j ɐ m b ɐ r	false
53	IHA-54-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	54	*drink	1401	DRINK	roh	roh	r o h	false
54	MBAHAM-54-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	54	*drink	1401	DRINK	rus	rus	r u s	false
55	IHA-39-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	39	*ear	1247	EAR	kp~er	kp~er	kp e r	false
56	MBAHAM-39-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	39	*ear	1247	EAR	pfie	pfie	p f i e	false
57	IHA-40-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	40	*eye	1248	EYE	kendep	kendep	k e n d e p	false
58	MBAHAM-40-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	40	*eye	1248	EYE	kiep	kiep	k i e p	false
59	IHA-82-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	82	*fire	221	FIRE	tom	tom	t o m	false
60	MBAHAM-82-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	82	*fire	221	FIRE	yambur	yambur	j ɐ m b u r	false
61	IHA-19-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	19	*fish	227	FISH	heyr	heyr	h e j r	false
62	MBAHAM-19-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	19	*fish	227	FISH	seyr	seyr	s e j r	false
63	IHA-48-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	48	*hand	1277	HAND	tan	tan	t ɐ n	false
64	MBAHAM-48-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	48	*hand	1277	HAND	kamen	kamen	k ɐ m e n	false
65	IHA-58-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	58	*hear	1408	HEAR	komon	komon	k o m o n	false
66	MBAHAM-58-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	58	*hear	1408	HEAR	komon	komon	k o m o n	false
67	IHA-47-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	47	*knee	1371	KNEE	kowk tomNgbon	kowk tomNgbon	k o w k t o m ŋ g b o n	false
68	MBAHAM-47-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	47	*knee	1371	KNEE	petumNgbon	petumNgbon	p e t u m ŋ g b o n	false
69	IHA-25-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	25	*leaf	628	LEAF	adop den	adop den	ɐ d o p d e n	false
70	MBAHAM-25-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	25	*leaf	628	LEAF	tawe	tawe	t ɐ w e	false
71	IHA-53-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	53	*liver	1224	LIVER	hemerahemera	hemerahemera	h e m e r ɐ h e m e r ɐ	false
72	MBAHAM-53-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	53	*liver	1224	LIVER	inin	inin	i n i n	false
73	IHA-22-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	22	*louse	1392	LOUSE	men	men	m e n	false
74	MBAHAM-22-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	22	*louse	1392	LOUSE	min	min	m i n	false
75	IHA-86-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	86	*mountain	639	MOUNTAIN	tumber	tumber	t u m b e r	false
76	IHA-86-2	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	86	*mountain	639	MOUNTAIN	kp~rohma	kp~rohma	kp r o h m ɐ	false
77	MBAHAM-86-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	86	*mountain	639	MOUNTAIN	kendewer	kendewer	k e n d e w e r	false
78	IHA-100-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	100	*name	1405	NAME	ne	ne	n e	false
79	MBAHAM-100-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	100	*name	1405	NAME	nie	nie	n i e	false
80	IHA-96-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	96	*new	1231	NEW	kahwaN	kahwaN	k ɐ h w ɐ ŋ	false
81	MBAHAM-96-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	96	*new	1231	NEW	yaNgaray	yaNgaray	j ɐ ŋ g ɐ r ɐ j	false
82	IHA-92-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	92	*night	1233	NIGHT	nah	nah	n ɐ h	false
83	MBAHAM-92-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	92	*night	1233	NIGHT	ndZundZoN	ndZundZoN	n d ʒ u n d ʒ o ŋ	false
84	IHA-41-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	41	*nose	1221	NOSE	kanamNgba	kanamNgba	k ɐ n ɐ m ŋ g b ɐ	false
85	MBAHAM-41-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	41	*nose	1221	NOSE	maNgogur	maNgogur	m ɐ ŋ g o g u r	false
86	IHA-11-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	11	*one	1493	ONE	wo	wo	w o	false
87	MBAHAM-11-1	MBAHAM	MBAHAM	baha1258	Baham	West Bomberai	Nuclear West Bomberai		False	11	*one	1493	ONE	owgeno	owgeno	o w g e n o	false
88	IHA-85-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	85	*path	2252	PATH	ndyot	ndyot	n d j o t	false
89	IHA-18-1	IHA	IHA	ihaa1241	Iha	West Bomberai	Nuclear West Bomberai		False	18	*person	683	PERSON	tomndi	tomndi	t o m n d i	false
